ID,Album,Enlace,Imagen,Plataforma,Status,Mood,Type
80,Compro,https://open.spotify.com/album/3yXIkSJWpudtgF0TZuB16U?si=cF2WHTH3SqCuP7zYJ3RIjQ,,,,,
81,The Best Of,https://open.spotify.com/album/0mdWdMPUGjLjZkHf5oV4ww?si=PzPEKcYxT-GslK6P0Yg2sQ,,,,,
82,猫 シ Corp. & t e l e p a t h テレパシー能力者 - Building a Better World,https://hiraeth-records.bandcamp.com/album/building-a-better-world,https://f4.bcbits.com/img/a1146419608_10.jpg,Bandcamp,,,
85,Этажи,https://open.spotify.com/album/1vPytXXwF0VXnof89Z91Pm?si=334-6hsVRcKBeRi5CoBqKg,,,,,
83,"Peel Session, by Boards of Canada",https://boardsofcanada.bandcamp.com/album/peel-session,,Bandcamp,,,
84,"Original Motion Picture Soundtrack, by PILOTPRIEST",https://pilotpriest.bandcamp.com/album/original-motion-picture-soundtrack,,Bandcamp,,,
86,"[AF044] Surface EP, by James Shinra",https://analogicalforce.bandcamp.com/album/af044-surface-ep,,Bandcamp,,,
88,Palms Trax * DJ Set * Le Mellotron,https://www.youtube.com/watch?v=UbfUxLfGPwo,,Youtube,,,
87,(Mother Earth's) Plantasia -- Mort Garson (1976) Full Album,https://www.youtube.com/watch?v=l0vrsO3_HpU,,Youtube,,,
90,Manu Nafa - The Gristape (Full Album),https://www.youtube.com/watch?v=_wIfT-b4_ew,,Youtube,,,
89,Vereda desamor - an elegant move through sorrow - malu.mujer by malu,https://soundcloud.com/malumujer/vereda-desamor-an-elegant-move-through-sorrow,,,,,
93,90s UK Jazzy Trip-hop with Nina Yamada,https://www.youtube.com/watch?v=62AV4UbQqOA,,Youtube,,,
94,Apricot 51: La Roze by Under The Apricot Tree,https://soundcloud.com/undertheapricottree/la-roze,,,,,
92,Suntub,https://open.spotify.com/album/6IjtDhIvMy3I8xORtWAVax?si=VTe5IuhtQjOdU_SrBZ-34A,,,,,
91,Abel Galleta - Dimitri Grimm State Of Mind,https://soundcloud.com/galletarecords/dimitri-grimm-state-of-mind,,SoundCloud,Ready,Chill,Mix
96,Aesop - Music for The Task at Hand,https://open.spotify.com/playlist/628z3Cy0VnaAoZTLb8qzwf?si=S-wN5Ul7R9Oh9ZuMxX__rg&pi=e-QvlYh3vwSBCA&nd=1&dlsi=61fadc8064a44a59,ab67706c0000d72c3543bbeba8a0064f6d9e703c.webp,Spotify,Ready,"Chill, Electronic",Playlist
95,Monk I & Pope - Tumba Ácida,https://pablovolt.bandcamp.com/album/tumba-cida,,Bandcamp,Ready,,
97,GoGo Penguin - Everything Is Going to Be OK,https://www.youtube.com/watch?v=ZdMVrf9tq2Y,,Youtube,Ready,,
98,Mohama Saz - Máquina de Guerra,https://mohamasaz.bandcamp.com/album/m-quina-de-guerra,,Bandcamp,Ready,Hard work,Album
102,Eris Drew - Mystery of the Motherbeat Part 2,https://soundcloud.com/eris-drew/eris-drew-mystery-of-the-motherbeat-vol-2-3,,SoundCloud,Ready,,
101,Hugo Heredia - Mananita Pampera,https://hugoheredia.bandcamp.com/album/mananita-pampera,,Bandcamp,Ready,,
99,The Gaslamp Killer - Live From My Living Room - Summer 2020,https://www.youtube.com/watch?v=Kd00YMcHv8M,Captura_de_pantalla_2024-11-29_a_las_13.57.10.png,Youtube,Ready,,
100,Felbm - Cycli infini,https://felbm.bandcamp.com/album/cycli-infini,,Bandcamp,Ready,,
106,Laserdisc Visions - New Dreams Ltd.,https://vektroid.bandcamp.com/album/new-dreams-ltd,,Bandcamp,Ready,"Chill, Electronic",Album
105,Yussef Kamaal - Black Focus,https://www.youtube.com/watch?v=4D8YPDdsxYU,https://m.media-amazon.com/images/I/61Qe-kHPOPL.jpg,Youtube,Ready,,
103,John Carpenter - NTS Podcast,https://soundcloud.com/user-643553014/john-carpenter-311024,,SoundCloud,Ready,Chill,Mix
104,David Puente - Música sí,https://open.substack.com/pub/davidpuente/p/30-aniversario-de-deus-ex-machina,Captura_de_pantalla_2024-11-29_a_las_13.51.20.png,Substack Podcast,Ready,,
107,Personal System 個人システム - Distant Paradise,https://dreamchimney.bandcamp.com/album/distant-paradise,,Bandcamp,Ready,,
108,Distant Paradise | Personal System 個人システム | Dream Chimney,https://dreamchimney.bandcamp.com/album/distant-paradise,,Bandcamp,,,
111,JDilla - Donuts,https://dilla.bandcamp.com/album/donuts,https://f4.bcbits.com/img/a3193518945_10.jpg,Bandcamp,Ready,Chill,Album
112,Lovie: Quincy Jones Tribute ‪TheLotRadio‬  - 11-05-2024,https://www.youtube.com/watch?v=v8F767m-avY,Screenshot_2024-11-26_at_17.06.46.png,Youtube,Ready,Chill,Mix
113,DJ Notsuya - Music Lounge Strut @ Koenji - Tokio,https://www.youtube.com/watch?v=St5ZdGqkaCU,Screenshot_2024-11-27_at_09.18.44.png,Youtube,Ready,Chill,Mix
114,Project Logic @ The Knitting Factory,https://ropeadope.bandcamp.com/album/project-logic-at-the-knitting-factory,https://f4.bcbits.com/img/a0456971729_16.jpg,Bandcamp,Ready,,
115,Bailey - Intelligent Drum Bass (1996),https://soundcloud.com/baileyintabeats/intelligent-drum-bass-1996,Screenshot_2024-12-02_at_10.00.51.png,SoundCloud,Ready,Chill,Mix
116,Guru - Jazzmatazz 4 - The Mixtape,https://www.youtube.com/watch?v=AXuTyEUrC0o,unnamed.jpg,Youtube,Ready,Chill,Album
117,Skream B2B Mala - Boiler Room Denver,https://www.youtube.com/watch?v=lVMsguwPvU4,Screenshot_2024-12-05_at_14.16.49.png,Youtube,Ready,"Electronic, Hard work",Mix
118,DJ Afrosia - 90'S Fall R&B / Classics + Throwbacks,https://www.youtube.com/watch?v=WK61pp0QDdw,Screenshot_2024-12-08_at_11.15.28.png,Youtube,Ready,Chill,Mix
119,Delise - #004,https://www.mixcloud.com/DeliseOne/004/,Screenshot_2024-12-18_at_10.39.11.png,Mixcloud,Ready,Hard work,Mix
120,Tallboy & Chronz - The homies mixing R&B and burning grilled cheese,https://www.youtube.com/watch?v=qage_dJcIBE,Screenshot_2025-01-20_at_08.33.38.png,Youtube,Ready,Chill,Mix
